Real GDP growth (Annual percent change),World
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1980-01-01,2.1
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1981-01-01,1.9
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1982-01-01,0.6
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1983-01-01,2.8
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1984-01-01,4.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1985-01-01,3.6
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1986-01-01,3.7
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1987-01-01,3.9
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1988-01-01,4.6
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1989-01-01,3.8
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1990-01-01,3.5
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1991-01-01,2.6
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1992-01-01,2.3
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1993-01-01,2.1
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1994-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1995-01-01,3.3
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1996-01-01,3.8
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1997-01-01,4.0
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1998-01-01,2.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
1999-01-01,3.6
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2000-01-01,4.8
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2001-01-01,2.5
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2002-01-01,3.0
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2003-01-01,4.3
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2004-01-01,5.4
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2005-01-01,4.9
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2006-01-01,5.5
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2007-01-01,5.6
2008-01-01,3.0
