,NA000334Q,Oil,Weekly U.S. Ending Stocks of Crude Oil  (Thousand Barrels)
1947-01-01,58497,,
1947-01-01,58497,,
1947-01-01,58497,,
1947-04-01,60672,,
1947-04-01,60672,,
1947-04-01,60672,,
1947-07-01,62196,,
1947-07-01,62196,,
1947-07-01,62196,,
1947-10-01,68250,,
1947-10-01,68250,,
1947-10-01,68250,,
1948-01-01,64258,,
1948-01-01,64258,,
1948-01-01,64258,,
1948-04-01,66539,,
1948-04-01,66539,,
1948-04-01,66539,,
1948-07-01,69378,,
1948-07-01,69378,,
1948-07-01,69378,,
1948-10-01,74295,,
1948-10-01,74295,,
1948-10-01,74295,,
1949-01-01,66185,,
1949-01-01,66185,,
1949-01-01,66185,,
1949-04-01,66340,,
1949-04-01,66340,,
1949-04-01,66340,,
1949-07-01,68625,,
1949-07-01,68625,,
1949-07-01,68625,,
1949-10-01,71322,,
1949-10-01,71322,,
1949-10-01,71322,,
1950-01-01,68032,,
1950-01-01,68032,,
1950-01-01,68032,,
1950-04-01,70872,,
1950-04-01,70872,,
1950-04-01,70872,,
1950-07-01,77178,,
1950-07-01,77178,,
1950-07-01,77178,,
1950-10-01,83746,,
1950-10-01,83746,,
1950-10-01,83746,,
1951-01-01,81603,,
1951-01-01,81603,,
1951-01-01,81603,,
1951-04-01,84645,,
1951-04-01,84645,,
1951-04-01,84645,,
1951-07-01,87586,,
1951-07-01,87586,,
1951-07-01,87586,,
1951-10-01,93076,,
1951-10-01,93076,,
1951-10-01,93076,,
1952-01-01,87610,,
1952-01-01,87610,,
1952-01-01,87610,,
1952-04-01,88913,,
1952-04-01,88913,,
1952-04-01,88913,,
1952-07-01,91270,,
1952-07-01,91270,,
1952-07-01,91270,,
1952-10-01,99548,,
1952-10-01,99548,,
1952-10-01,99548,,
1953-01-01,94008,,
1953-01-01,94008,,
1953-01-01,94008,,
1953-04-01,97392,,
1953-04-01,97392,,
1953-04-01,97392,,
1953-07-01,96695,,
1953-07-01,96695,,
1953-07-01,96695,,
1953-10-01,101121,,
1953-10-01,101121,,
1953-10-01,101121,,
1954-01-01,93581,,
1954-01-01,93581,,
1954-01-01,93581,,
1954-04-01,96090,,
1954-04-01,96090,,
1954-04-01,96090,,
1954-07-01,96905,,
1954-07-01,96905,,
1954-07-01,96905,,
1954-10-01,103980,,
1954-10-01,103980,,
1954-10-01,103980,,
1955-01-01,99833,,
1955-01-01,99833,,
1955-01-01,99833,,
1955-04-01,104406,,
1955-04-01,104406,,
1955-04-01,104406,,
1955-07-01,107058,,
1955-07-01,107058,,
1955-07-01,107058,,
1955-10-01,114181,,
1955-10-01,114181,,
1955-10-01,114181,,
1956-01-01,106892,,
1956-01-01,106892,,
1956-01-01,106892,,
1956-04-01,110356,,
1956-04-01,110356,,
1956-04-01,110356,,
1956-07-01,111816,,
1956-07-01,111816,,
1956-07-01,111816,,
1956-10-01,120287,,
1956-10-01,120287,,
1956-10-01,120287,,
1957-01-01,113459,,
1957-01-01,113459,,
1957-01-01,113459,,
1957-04-01,117125,,
1957-04-01,117125,,
1957-04-01,117125,,
1957-07-01,119108,,
1957-07-01,119108,,
1957-07-01,119108,,
1957-10-01,124349,,
1957-10-01,124349,,
1957-10-01,124349,,
1958-01-01,113202,,
1958-01-01,113202,,
1958-01-01,113202,,
1958-04-01,117802,,
1958-04-01,117802,,
1958-04-01,117802,,
1958-07-01,120079,,
1958-07-01,120079,,
1958-07-01,120079,,
1958-10-01,130149,,
1958-10-01,130149,,
1958-10-01,130149,,
1959-01-01,123707,,
1959-01-01,123707,,
1959-01-01,123707,,
1959-04-01,131641,,
1959-04-01,131641,,
1959-04-01,131641,,
1959-07-01,130194,,
1959-07-01,130194,,
1959-07-01,130194,,
1959-10-01,136112,,
1959-10-01,136112,,
1959-10-01,136112,,
1960-01-01,131022,,
1960-01-01,131022,,
1960-01-01,131022,,
1960-04-01,136488,,
1960-04-01,136488,,
1960-04-01,136488,,
1960-07-01,135021,,
