Date,WTI
1Q 1968,14.29276
2Q 1968,14.14358
3Q 1968,14.0056
4Q 1968,13.81018
1Q 1969,13.19696
2Q 1969,13.03053
3Q 1969,12.84993
4Q 1969,12.68633
1Q 1970,13.22491
2Q 1970,13.0431
3Q 1970,12.93706
4Q 1970,12.76853
1Q 1971,13.46873
2Q 1971,13.29363
3Q 1971,13.16008
4Q 1971,13.05171
1Q 1972,13.05547
2Q 1972,12.97602
3Q 1972,12.85532
4Q 1972,12.69416
1Q 1973,15.89961
2Q 1973,15.66099
3Q 1973,15.36781
4Q 1973,15.06814
1Q 1974,42.00493
2Q 1974,45.78495
3Q 1974,43.53161
4Q 1974,42.09694
1Q 1975,42.5912
2Q 1975,43.65884
3Q 1975,44.6244
4Q 1975,46.16406
1Q 1976,41.10081
2Q 1976,40.93122
3Q 1976,40.69103
4Q 1976,40.19912
1Q 1977,41.86191
2Q 1977,41.72287
3Q 1977,41.22484
4Q 1977,40.63529
1Q 1978,39.64673
2Q 1978,38.88978
3Q 1978,38.27633
4Q 1978,38.20387
1Q 1979,40.48079
2Q 1979,47.64622
3Q 1979,58.40722
4Q 1979,64.29127
1Q 1980,75.10675
2Q 1980,77.89193
3Q 1980,76.92823
4Q 1980,76.26432
1Q 1981,82.04085
2Q 1981,78.53414
3Q 1981,73.44148
4Q 1981,71.92374
1Q 1982,69.28265
2Q 1982,64.74497
3Q 1982,63.84495
4Q 1982,63.01723
1Q 1983,57.07499
2Q 1983,53.63747
3Q 1983,54.37576
4Q 1983,54.13846
1Q 1984,52.71674
2Q 1984,52.81985
3Q 1984,51.83257
4Q 1984,50.85088
1Q 1985,47.9985
2Q 1985,48.14717
3Q 1985,46.30178
4Q 1985,46.25492
1Q 1986,32.8967
2Q 1986,22.07077
3Q 1986,23.67991
4Q 1986,26.19999
1Q 1987,30.78044
2Q 1987,32.52343
3Q 1987,33.95095
4Q 1987,30.81326
1Q 1988,27.37032
2Q 1988,28.02341
3Q 1988,24.35147
4Q 1988,23.48802
1Q 1989,29.08209
2Q 1989,31.79404
3Q 1989,29.86867
4Q 1989,31.25109
1Q 1990,33.09184
2Q 1990,26.71928
3Q 1990,39.37033
4Q 1990,47.15083
1Q 1991,32.02433
2Q 1991,30.17616
3Q 1991,31.27132
4Q 1991,31.20199
1Q 1992,27.03192
2Q 1992,30.11451
3Q 1992,30.6336
4Q 1992,28.76317
1Q 1993,27.66993
2Q 1993,27.43669
3Q 1993,24.56203
4Q 1993,22.54631
1Q 1994,20.25745
2Q 1994,24.18027
3Q 1994,25.00327
4Q 1994,23.72898
1Q 1995,24.57522
2Q 1995,25.76976
3Q 1995,23.65599
4Q 1995,23.92666
1Q 1996,25.90772
2Q 1996,28.33695
3Q 1996,29.16504
4Q 1996,31.88411
1Q 1997,29.30914
2Q 1997,25.59136
3Q 1997,25.34929
4Q 1997,25.4489
1Q 1998,20.33332
2Q 1998,18.63501
3Q 1998,18.01108
4Q 1998,16.3284
1Q 1999,16.41297
2Q 1999,22.09427
3Q 1999,27.09695
4Q 1999,30.53911
1Q 2000,35.51167
2Q 2000,35.2564
3Q 2000,38.48354
4Q 2000,38.72927
1Q 2001,34.66808
2Q 2001,33.3409
3Q 2001,31.75545
4Q 2001,24.21789
1Q 2002,25.6301
2Q 2002,30.94649
3Q 2002,33.26486
4Q 2002,32.94377
1Q 2003,39.56416
2Q 2003,33.52071
3Q 2003,34.75433
4Q 2003,35.71047
1Q 2004,40.00242
2Q 2004,43.15049
3Q 2004,49.06212
4Q 2004,53.63709
1Q 2005,54.71247
2Q 2005,57.95637
3Q 2005,68.38746
4Q 2005,64.44504
1Q 2006,67.42582
2Q 2006,74.44258
3Q 2006,73.93129
4Q 2006,62.75197
1Q 2007,60.08615
2Q 2007,66.84946
3Q 2007,77.37335
4Q 2007,92.64636
1Q 2008,99.41194
2Q 2008,125.21104
3Q 2008,118.43762
4Q 2008,58.45481
1Q 2009,42.88541
2Q 2009,59.50148
3Q 2009,68.28839
4Q 2009,75.93001
1Q 2010,78.2303
2Q 2010,77.0452
3Q 2010,74.98217
4Q 2010,83.47049
1Q 2011,91.34399
2Q 2011,99.11516
3Q 2011,86.45954
4Q 2011,90.47124
1Q 2012,98.48053
2Q 2012,89.02579
3Q 2012,87.36778
4Q 2012,83.03268
1Q 2013,88.70323
2Q 2013,88.30002
3Q 2013,98.84265
4Q 2013,90.43659
1Q 2014,91.33254
2Q 2014,95.06726
3Q 2014,89.56931
4Q 2014,66.93382
1Q 2015,44.40704
2Q 2015,52.62572
3Q 2015,42.09923
4Q 2015,37.96393
1Q 2016,29.99518
2Q 2016,40.81295
3Q 2016,40.17298
4Q 2016,43.78191
1Q 2017,45.91442
2Q 2017,42.67754
3Q 2017,42.39178
4Q 2017,48.44979
1Q 2018,57.49605
2Q 2018,61.7008
3Q 2018,63.02521
4Q 2018,53.13278
1Q 2019,49.18411
2Q 2019,53.28734
3Q 2019,50.0361
